,image name,car_count,timestamp_true,Count,num_timestamp,month_no,month_name,day,day_of_week,day_of_week_name,is_weekend,hour_of_day
580,Kris_0606-2237.png,6,2023-06-06 22:37:00,6,1686091020.0,6,June,6,1,Tuesday,0,22
581,Kris_1006-0035.png,4,2023-06-10 00:35:00,4,1686357300.0,6,June,10,5,Saturday,0,0
582,Kris_2506-1557.png,19,2023-06-25 15:57:00,19,1687708620.0,6,June,25,6,Sunday,0,15
583,Kris_2506-1319.png,14,2023-06-25 13:19:00,14,1687699140.0,6,June,25,6,Sunday,0,13
584,Kris_1006-2146.png,22,2023-06-10 21:46:00,22,1686433560.0,6,June,10,5,Saturday,0,21
585,Kris_1706-2303.png,6,2023-06-17 23:03:00,6,1687042980.0,6,June,17,5,Saturday,0,23
586,Kris_0706-0410.png,19,2023-06-07 04:10:00,19,1686111000.0,6,June,7,2,Wednesday,0,4
587,Kris_1806-1241.png,35,2023-06-18 12:41:00,35,1687092060.0,6,June,18,6,Sunday,0,12
588,Kris_1308-1019.png,0,2023-08-13 10:19:00,0,1691921940.0,8,August,13,6,Sunday,0,10
589,Kris_1308-0217.png,0,2023-08-13 02:17:00,0,1691893020.0,8,August,13,6,Sunday,0,2
590,Kris_0308-0936.png,2,2023-08-03 09:36:00,2,1691055360.0,8,August,3,3,Thursday,0,9
591,Kris_1006-2216.png,23,2023-06-10 22:16:00,23,1686435360.0,6,June,10,5,Saturday,0,22
592,Kris_0706-1044.png,23,2023-06-07 10:44:00,23,1686134640.0,6,June,7,2,Wednesday,0,10
593,Kris_0608-0617.png,5,2023-08-06 06:17:00,5,1691302620.0,8,August,6,6,Sunday,0,6
594,Kris_0508-0440.png,4,2023-08-05 04:40:00,4,1691210400.0,8,August,5,5,Saturday,0,4
595,Kris_0808-1303.png,32,2023-08-08 13:03:00,32,1691499780.0,8,August,8,1,Tuesday,0,13
596,Kris_2606-0040.png,7,2023-06-26 00:40:00,7,1687740000.0,6,June,26,0,Monday,0,0
597,Kris_0808-1333.png,33,2023-08-08 13:33:00,33,1691501580.0,8,August,8,1,Tuesday,0,13
598,Kris_0808-2235.png,8,2023-08-08 22:35:00,8,1691534100.0,8,August,8,1,Tuesday,0,22
599,Kris_0908-0006.png,7,2023-08-09 00:06:00,7,1691539560.0,8,August,9,2,Wednesday,0,0
600,Kris_1006-1915.png,6,2023-06-10 19:15:00,6,1686424500.0,6,June,10,5,Saturday,0,19
601,Kris_0208-2333.png,1,2023-08-02 23:33:00,1,1691019180.0,8,August,2,2,Wednesday,0,23
602,Kris_1906-1631.png,28,2023-06-19 16:31:00,28,1687192260.0,6,June,19,0,Monday,0,16
603,Kris_0806-1429.png,28,2023-06-08 14:29:00,28,1686234540.0,6,June,8,3,Thursday,0,14
604,Kris_2506-1855.png,9,2023-06-25 18:55:00,9,1687719300.0,6,June,25,6,Sunday,0,18
605,Kris_1108-0054.png,10,2023-08-11 00:54:00,10,1691715240.0,8,August,11,4,Friday,0,0
606,Kris_1008-1321.png,29,2023-08-10 13:21:00,29,1691673660.0,8,August,10,3,Thursday,0,13
607,Kris_0208-2002.png,3,2023-08-02 20:02:00,3,1691006520.0,8,August,2,2,Wednesday,0,20
608,Kris_1006-0437.png,6,2023-06-10 04:37:00,6,1686371820.0,6,June,10,5,Saturday,0,4
609,Kris_0408-2208.png,0,2023-08-04 22:08:00,0,1691186880.0,8,August,4,4,Friday,0,22
610,Kris_1106-1625.png,19,2023-06-11 16:25:00,19,1686500700.0,6,June,11,6,Sunday,0,16
611,Kris_0408-1737.png,1,2023-08-04 17:37:00,1,1691170620.0,8,August,4,4,Friday,0,17
612,Kris_1106-1957.png,13,2023-06-11 19:57:00,13,1686513420.0,6,June,11,6,Sunday,0,19
613,Kris_0408-0310.png,3,2023-08-04 03:10:00,3,1691118600.0,8,August,4,4,Friday,0,3
614,Kris_1206-1624.png,21,2023-06-12 16:24:00,21,1686587040.0,6,June,12,0,Monday,0,16
615,Kris_1806-1140.png,35,2023-06-18 11:40:00,35,1687088400.0,6,June,18,6,Sunday,0,11
616,Kris_1006-0337.png,5,2023-06-10 03:37:00,5,1686368220.0,6,June,10,5,Saturday,0,3
617,Kris_0706-2050.png,6,2023-06-07 20:50:00,6,1686171000.0,6,June,7,2,Wednesday,0,20
618,Kris_1306-0840.png,15,2023-06-13 08:40:00,15,1686645600.0,6,June,13,1,Tuesday,0,8
619,Kris_2606-1630.png,25,2023-06-26 16:30:00,25,1687797000.0,6,June,26,0,Monday,0,16
620,Kris_2506-0044.png,12,2023-06-25 00:44:00,12,1687653840.0,6,June,25,6,Sunday,0,0
621,Kris_0508-1443.png,2,2023-08-05 14:43:00,2,1691246580.0,8,August,5,5,Saturday,0,14
622,Kris_0408-2239.png,0,2023-08-04 22:39:00,0,1691188740.0,8,August,4,4,Friday,0,22
623,Kris_2406-2238.png,14,2023-06-24 22:38:00,14,1687646280.0,6,June,24,5,Saturday,0,22
